budget,primary_genre,original_title,overview,production_company,release_date,revenue,runtime,tagline,title
1000000,Adventure,Tom Jones,Tom loves Sophie and Sophie loves Tom. But Tom and Sophie are of differering classes. Can they find a way through the mayhem to be true to love?,Woodfall Film Productions,23290,37600000,128,Tom Jones! . . . loves and loves and loves and loves . . .,Tom Jones
2000000,Crime,In the Heat of the Night,An African American detective is asked to investigate a murder in a racist southern town.,United Artists,24686,27379978,109,They got a murder on their hands. They don't know what to do with it.,In the Heat of the Night
10000000,Drama,Oliver!,"Musical adaptation of Charles Dickens' Oliver Twist, a classic tale of an orphan who runs away from the workhouse and joins up with a group of boys headed by the Artful Dodger and trained to be pickpockets by master thief Fagin.",Columbia Pictures Corporation,25107,37402877,153,Much Much More Than a Musical!,Oliver!
3600000,Drama,Midnight Cowboy,A naive male prostitute and his sickly friend struggle to survive on the streets of New York City.,United Artists,25348,44785053,113,Whatever you hear about Midnight Cowboy is true.,Midnight Cowboy
1800000,Action,The French Connection,Tough narcotics detective 'Popeye' Doyle is in hot pursuit of a suave French drug dealer who may be the key to a huge heroin-smuggling operation.,Twentieth Century Fox Film Corporation,26215,41158757,104,There are no rules and no holds barred when Popeye cuts loose!,The French Connection
8000000,Drama,Kramer vs. Kramer,"Ted Kramer is a career man for whom his work comes before his family. His wife Joanna cannot take this anymore, so she decides to leave him. Ted is now faced with the tasks of housekeeping and taking care of himself and their young son Billy.",Columbia Pictures,29207,106260000,105,There are three sides to this love story,Kramer vs. Kramer
5500000,Drama,Chariots of Fire,The true story of British athletes preparing for and competing in the 1924 Summer Olympics.,Twentieth Century Fox Film Corporation,29721,58972904,123,"This is the story of two men who run, not to run, but to prove something to the world. They will sacrifice anything to achieve their goals... except their honor.",Chariots of Fire
31000000,Drama,Out of Africa,"Out of Africa tells the story of the life of Danish author Karen Blixen, who at the beginning of the 20th century moved to Africa to build a new life for herself. The film is based on the autobiographical novel by Karen Blixen from 1937.",Universal Pictures,31401,128499205,161,Based on a true story.,Out of Africa
25000000,Drama,Rain Man,Selfish yuppie Charlie Babbitt's father left a fortune to his savant brother Raymond and a pittance to Charlie; they travel cross-country.,United Artists,32488,412800000,133,A journey through understanding and fellowship.,Rain Man
1500000,Comedy,Repo Man,"A down and out young punk gets a job working with a seasoned repo man, but what awaits him in his new career is a series of outlandish adventures revolving around aliens, the CIA, and a most wanted '64 Chevy.",Edge City,30732,2300000,92,Itâ€™s 4 a.m. Do you know where your car is?,Repo Man
1000000,Comedy,The Breakfast Club,"Five high school students, all different stereotypes, meet in detention, where they pour their hearts out to each other, and discover how they have a lot more in common than they thought.",Universal Pictures,31093,51525171,97,"They only met once, but it changed their lives forever.",The Breakfast Club
550000,Horror,Friday the 13th,Camp counselors are stalked and murdered by an unknown assailant while trying to reopen a summer camp that was the site of a child's drowning.,Paramount Pictures,29350,59754601,95,"They were warned...They are doomed...And on Friday the 13th, nothing will save them.",Friday the 13th
4000000,Horror,Friday the 13th Part III,"An idyllic summer turns into a nightmare of unspeakable terror for yet another group of naive counselors. Ignoring Camp Crystal Lake's bloody legacy, one by one they fall victim to the maniacal Jason who stalks them at every turn.",Paramount Pictures,30176,36690067,95,There's nowhere to hide. We dare you to try.,Friday the 13th Part III
300000,Horror,Halloween,"In John Carpenter's horror classic, a psychotic murderer, institutionalized since childhood for the murder of his sister, escapes and stalks a bookish teenage girl and her friends while his doctor chases him through the streets.",Compass International Pictures,28788,70000000,91,The Night He Came Home,Halloween
9000000,Horror,Child's Play,"A single mother gives her son a beloved doll for his birthday, only to discover that it is possessed with the soul of a serial killer.",United Artists,32455,44196684,87,Chucky is one mean S.O.B.,Child's Play
13000000,Drama,Child's Play 2,"Chuckie's back as the doll possessed by the soul of a serial killer, butchering all who stand in his way of possessing the body of a boy.",Universal Pictures,33186,35763605,84,Look out Jack! Chucky's back!,Child's Play 2
14000000,Horror,Exorcist II: The Heretic,"Bizarre nightmares plague Regan MacNeil four years after her possession and exorcism. Has the demon returned? And if so, can the combined faith and knowledge of a Vatican investigator and a hypnotic research specialist free her from its grasp?",Warner Bros.,28293,30749142,118,It's four years later... what does she remember?,Exorcist II: The Heretic
11000000,Fantasy,Gremlins,"When Billy Peltzer is given a strange but adorable pet named Gizmo for Christmas, he inadvertently breaks the three important rules of caring for a Mogwai, and unleashes a horde of mischievous gremlins on a small town.",Amblin Entertainment,30840,153083102,106,"Don't get him wet, keep him out of bright light, and never feed him after midnight.",Gremlins
92620000,Drama,Metropolis,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working class prophet who predicts the coming of a savior to mediate their differences.",Paramount Pictures,46397,650422,153,There can be no understanding between the hands and the brain unless the heart acts as mediator.,Metropolis
5000000,Action,The Poseidon Adventure,The Poseidon Adventure was one of the first Catastrophe films and began the Disaster Film genre. Director Neame tells the story of a group of people that must fight for their lives aboard a sinking ship. Based on the novel by Paul Gallico.,Twentieth Century Fox Film Corporation,26634,84563118,117,Who will survive-in one of the greatest escape adventures ever!,The Poseidon Adventure
858000,Animation,Bambi,"Bambi's tale unfolds from season to season as the young prince of the forest learns about life, love, and friends.",Walt Disney Productions,15567,267447150,70,A great love story.,Bambi
40000000,Action,Dune,"In the year 10,191, the world is at war for control of the desert planet Dune the only place where the time-travel substance 'Spice' can be found. But when one leader gives up control, it's only so he can stage a coup with some unsavory characters.",Dino De Laurentiis Company,31030,30925690,137,"A world beyond your experience, beyond your imagination.",Dune
54000000,Crime,The Godfather: Part III,"In the midst of trying to legitimize his business dealings in 1979 New York and Italy, aging mafia don, Michael Corleone seeks forgiveness for his sins while taking a young protege under his wing.",Paramount Pictures,33231,136766062,162,All the power on earth can't change destiny.,The Godfather: Part III
1227401,Mystery,The Rapture,"A lonely telephone operator leading an empty, amoral life finds God â€” only to have her faith continually tested in ways beyond what she could ever have imagined.",Fine Line Features,33515,1277401,100,It goes places movies seldom dare to go.,The Rapture
62000000,Drama,Lolita,Urbane professor Humbert Humbert marries a New England widow to be near her nymphet daughter.,PathÃ©,35700,1060056,137,A forbidden love. An unthinkable attraction. The ultimate price.,Lolita
10000000,Comedy,Jane Austen's Mafia!,Takeoff on the Godfather with the son of a mafia king taking over for his dying father.,Tapestry Films,36000,19000000,84,See it early. Avoid the mob.,Jane Austen's Mafia!
70000000,Drama,Saving Private Ryan,"As U.S. troops storm the beaches of Normandy, three brothers lie dead on the battlefield, with a fourth trapped behind enemy lines. Ranger captain John Miller and seven men are tasked with penetrating German-held territory and bringing the boy home.",Paramount Pictures,36000,481840909,169,The mission is a man.,Saving Private Ryan
14000000,Comedy,The Great Mouse Detective,"When the diabolical Professor Ratigan kidnaps London's master toymaker, the brilliant master of disguise Basil of Baker Street and his trusted sidekick Dawson try to elude the ultimate trap and foil the perfect crime.",Walt Disney Pictures,31595,38625550,74,London's crime-fighting ace on his most baffling case!,The Great Mouse Detective
28000000,Comedy,Hocus Pocus,"After 300 years of slumber, three sister witches are accidentally resurrected in Salem on Halloween night, and it us up to three kids and their newfound feline friend to put an end to the witches' reign of terror once and for all.",Walt Disney Pictures,34166,39514713,96,It's just a bunch of Hocus Pocus.,Hocus Pocus
32000000,Adventure,"Honey, I Shrunk the Kids",The scientist father of a teenage girl and boy accidentally shrinks his and two other neighborhood teens to the size of insects. Now the teens must fight diminutive dangers as the father searches for them.,Buena Vista,32681,222724172,93,"The most astonishing, innovative, backyard adventure of all time!","Honey, I Shrunk the Kids"
6000000,Crime,Blue Velvet,"The discovery of a severed human ear found in a field leads a young man on an investigation related to a beautiful, mysterious nightclub singer and a group of criminals who have kidnapped her child.",De Laurentiis Entertainment Group (DEG),31625,8551228,120,It's a strange world.,Blue Velvet
4000000,Adventure,One Hundred and One Dalmatians,"When a litter of dalmatian puppies are abducted by the minions of Cruella De Vil, the parents must find them before she uses them for a diabolical fashion statement.",Walt Disney Productions,22306,215880014,79,The Canine Caper of the Century,One Hundred and One Dalmatians
4000000,Animation,Peter Pan,"Leaving the safety of their nursery behind, Wendy, Michael and John follow Peter Pan to a magical world where childhood lasts forever. But while in Neverland, the kids must face Captain Hook and foil his attempts to get rid of Peter for good.",RKO Radio Pictures,19395,87404651,77,It will live in your heart forever!,Peter Pan
25000000,Adventure,Return to Oz,"Dorothy, saved from a psychiatric experiment by a mysterious girl, finds herself back in the land of her dreams, and makes delightful new friends, and dangerous new enemies.",Silver Screen Partners II,31219,11137801,109,An all-new adventure down the yellow brick road.,Return to Oz
19000000,Fantasy,Something Wicked This Way Comes,"In a small American town, a diabolical circus arrives, granting wishes for the townsfolk, but twisted as only the esteemed Mr. Dark can make them. Can two young boys overcome the worst the devil himself can deal out?",Walt Disney Pictures,30435,5656087,95,What would you give a man who could make your deepest dreams come true?,Something Wicked This Way Comes
8000000,Comedy,Splash,"A successful businessman falls in love with the girl of his dreams. There's one big complication though; he's fallen hook, line and sinker for a mermaid.",Touchstone Pictures,30750,69821334,111,Allen Bauer Thought He'd Never Find The Right Woman... He Was Only Half Wrong!,Splash
10000000,Crime,The Outsiders,"When two poor greasers, Johnny, and Ponyboy are assaulted by a vicious gang, the socs, and Johnny kills one of the attackers, tension begins to mount between the two rival gangs, setting off a turbulent chain of events.",American Zoetrope,30400,33697647,91,They grew up on the outside of society. They weren't looking for a fight. They were looking to belong.,The Outsiders
28000000,Adventure,Indiana Jones and the Temple of Doom,"After arriving in India, Indiana Jones is asked by a desperate village to find a mystical stone. He agrees and stumbles upon a secret cult plotting a terrible plan in the catacombs of an ancient palace.",Lucasfilm,30825,333000000,118,If adventure has a name... it must be Indiana Jones.,Indiana Jones and the Temple of Doom
4000000,Fantasy,The Lord of the Rings,The Fellowship of the Ring embark on a journey to destroy the One Ring and end Sauron's reign over Middle-earth.,United Artists,28809,30471420,132,Fantasy...beyond your imagination,The Lord of the Rings
5000000,Horror,Cujo,A friendly St. Bernard named Cujo contracts rabies and conducts a reign of terror on a small American town.,TAFT Entertainment Pictures,30538,21200000,91,Now there's a new name for terror...,Cujo
800000,Drama,Children of the Corn,A boy preacher named Isaac goes to a town in Nebraska called Gatlin and gets all the children to murder every adult in town.,Hal Roach Studios,30750,14000000,93,In their world adults are not allowed... to live.,Children of the Corn
1000000,Adventure,Watership Down,"When the warren belonging to a community of rabbits is threatened, a brave group led by Fiver, Bigwig, Blackberry and Hazel leave their homeland in a search of a safe new haven.",AVCO Embassy Pictures,28777,3713768,88,"All the world will be your enemy, Prince with a Thousand Enemies, and when they catch you, they will kill you... but first they must catch you.",Watership Down
7000000,Fantasy,The Secret of NIMH,"A widowed field mouse must move her family -- including an ailing son -- to escape a farmer's plow. Aided by a crow and a pack of superintelligent, escaped lab rats, the brave mother struggles to transplant her home to firmer ground.",United Artists,30119,14665733,82,Right before your eyes and beyond your wildest dreams.,The Secret of NIMH
15000000,Fantasy,The Dark Crystal,"On another planet in the distant past, a Gelfling embarks on a quest to find the missing shard of a magical crystal and restore order to his world, before the grotesque race of Skeksis find and use the crystal for evil.",Universal Pictures,30302,40577001,93,"Another World, Another Time... In the Age of Wonder.",The Dark Crystal
6500000,Comedy,Sixteen Candles,A teenage girls deals with her parents forgetting her birthday and a crush on her high school's heartthrob.,Universal Pictures,30806,23686027,93,When you're just sixteen anything can happen!,Sixteen Candles
5000000,Action,The Gods Must Be Crazy,"Misery is brought to a small group of Sho in the Kalahari desert in the form of a cola bottle. In his quest to throw the evil object over the edge of the earth, Xixo encounters Western civilization, a haphazard doctor and a tyranical despot.",CAT Films,29474,60000000,109,The critics are raving... the natives are restless... and the laughter is non-stop!,The Gods Must Be Crazy
3200000,Horror,Rosemary's Baby,A young couple moves into an infamous New York apartment building to start a family. Things become frightening as Rosemary begins to suspect her unborn baby isn't safe around their strange neighbors.,Paramount Pictures,25001,33395426,136,Pray for Rosemary's Baby,Rosemary's Baby
32000000,Drama,The Neverending Story II: The Next Chapter,"Once again, Bastian is transported to the world of Fantasia which he recently managed to save from destruction. However, the land is now being destroyed by an evil sorceress, Xayide, so he must join up with Atreyu and face the Emptiness once more.",Bavaria Film,33170,16283667,89,Begin an all new adventure as a young boy returns to a world of wonder on the wings of his imagination.,The Neverending Story II: The Next Chapter
2000000,Comedy,Family Plot,Lighthearted suspense film about a phony psychic/con artist and her taxi driver/private investigator boyfriend who encounter a pair of serial kidnappers while trailing a missing heir in California.,Universal Pictures,27859,7900000,121,Thereâ€™s no body in the family plot.,Family Plot
3500000,Crime,Frenzy,"A serial murderer is strangling women with a necktie. The London police have a suspect, but he is the wrong man.",Universal Pictures,26444,12600000,116,Just an ordinary necktie used with a deadly new twist.,Frenzy
4000000,Action,Topaz,"A French intelligence agent becomes embroiled in the Cold War politics first with uncovering the events leading up to the 1962 Cuban Missle Crisis, and then back to France to break up an international Russian spy ring.",Universal Pictures,25555,6000000,143,Hitchcock takes you behind the actual headlines to expose the most explosive spy scandal of the century!,Topaz
3000000,Mystery,Torn Curtain,An American scientist publicly defects to East Germany as part of a cloak and dagger mission to find the solution for a formula resin and then figuring out a plan to escape back to the West.,Universal Pictures,24301,13000000,128,It tears you apart with suspense!,Torn Curtain
1200000,Crime,The Wrong Man,True story of an innocent man mistaken for a criminal.,Warner Bros.,20811,2000000,105,Somewhere...somewhere there must be the right man!,The Wrong Man
1200000,Comedy,The Trouble with Harry,"Trouble erupts in a small, quiet New England town when a man's body is found in the woods. The problem is that almost everyone in town thinks that they had something to do with his death.",Paramount Pictures,20365,7000000,99,A THRILLER with a difference!,The Trouble with Harry
1200000,Crime,Strangers on a Train,A psychotic socialite confronts a pro tennis star with a theory on how two complete strangers can get away with murder...a theory that he plans to implement.,Warner Bros.,18797,7000000,101,It starts with a shriek of a train whistle...and ends with shrieking excitement.,Strangers on a Train
12000000,Drama,Rounders,A young man is a reformed gambler who must return to playing big stakes poker to help a friend pay off loan sharks.,Miramax Films,36049,22921898,121,Trust everyone... But always cut the cards.,Rounders
250000,Thriller,Cube,Seven strangers are taken out of their daily lives and placed mysteriously in a deadly cube where they all agree they must find their way out.,TÃ©lÃ©film Canada,35682,501818,90,Don't look for a reason... Look for a way out.,Cube
25000000,Drama,Without Limits,"The film follows the life of famous 1970s runner Steve Prefontaine from his youth days in Oregon to the University of Oregon where he worked with the legendary coach Bill Bowerman, later to Olympics in Munich and his early death at 24 in a car crash.",Cruise/Wagner Productions,36049,777423,117,PRE. The way he competed. The way he lived his life.,Without Limits
38000000,Drama,Indecent Proposal,"Robert Redford stars as billionaire John Gage, who offers a down-on-his-luck yuppie husband (Woody Harrelson) $1 million for the opportunity to spend the night with the man's wife (Demi Moore).",Paramount Pictures,34066,266614059,117,A husband. A wife. A millionaire. A proposal.,Indecent Proposal
55000000,Action,Ronin,"A briefcase with undisclosed contents sought by Irish terrorists and the Russian mob makes its way into criminals' hands. An Irish liaison assembles a squad of mercenaries, or 'ronin', and gives them the thorny task of recovering the case.",United Artists,36063,41610884,122,Your ally could become your enemy.,Ronin
25000000,Adventure,The Sheltering Sky,"An American couple (John Malkovich, Debra Winger) drift toward emptiness in postwar North Africa.",Warner Bros.,33170,2075084,138,A woman's dangerous and erotic journey...,The Sheltering Sky
15000000,Horror,The Thing,Scientists in the Antarctic are confronted by a shape-shifting alien that assumes the appearance of the people that it kills.,Universal Pictures,30127,19629760,109,Man is The Warmest Place to Hide.,The Thing
8000000,Comedy,The Player,A Hollywood studio executive is being sent death threats by a writer whose script he rejected - but which one?,Fine Line Features,33697,21706101,124,Everything you've heard is true!,The Player
20000000,Fantasy,Edward Scissorhands,A small suburban town receives a visit from a castaway unfinished science experiment named Edward.,Twentieth Century Fox Film Corporation,33212,53000000,105,His scars run deep.,Edward Scissorhands
11000000,Comedy,History of the World: Part I,"An uproarious version of history that proves nothing is sacred not even the Roman Empire, the French Revolution and the Spanish Inquisition.",Twentieth Century Fox Film Corporation,29749,31672907,92,"Ten million years in the making. The truth, the whole truth, and everything, but the truth!",History of the World: Part I
25000000,Horror,Bride of Chucky,"Chucky hooks up with another murderous doll, the bridal gown-clad Tiffany, for a Route 66 murder spree with their unwitting hosts.",Universal Pictures,36084,50671850,89,Chucky Gets Lucky.,Bride of Chucky
3000000,Comedy,Happiness,"The lives of many individuals connected by the desire for happiness, often from sources usually considered dark or evil.",Killer Films,36084,2807390,139,Finding happiness can be a tragic comedy.,Happiness
70000000,Drama,The Siege,The secret US abduction of a suspected terrorist leads to a wave of terrorist attacks in New York that lead to the declaration of martial law.,Twentieth Century Fox Film Corporation,36105,116672912,116,On November 6th our freedom is history,The Siege
23000000,Comedy,The Waterboy,Bobby Boucher is a water boy for a struggling college football team. The coach discovers Boucher's hidden rage makes him a tackling machine whose bone-crushing power might vault his team into the playoffs.,Touchstone Pictures,36105,185991646,90,You can mess with him. But don't mess with his water.,The Waterboy
30000000,Drama,Elizabeth,"The story of the ascension to the throne and the early reign of Queen Elizabeth the First, the endless attempts by her council to marry her off, the Catholic hatred of her and her romance with Lord Robert Dudley.",Channel Four Films,36051,82150642,124,Declared illegitimate aged 3. Tried for treason aged 21. Crowned Queen aged 25.,Elizabeth
9000000,Action,Runaway Train,A hardened convict and a younger prisoner escape from a brutal prison in the middle of winter only to find themselves on an out-of-control train with a female railway worker while being pursued by the vengeful head of security.,Cannon Group,31366,7936012,111,"Desperate, And Determined To Survive.",Runaway Train
90000000,Action,Enemy of the State,"Hotshot Washington lawyer, Robert Dean becomes a victim of high-tech identity theft when a hacker slips an incriminating video into his pocket. Soon, a rogue National Security agent sets out to recover the tape and destroy Dean.",Jerry Bruckheimer Films,36119,250649836,132,It's not paranoia if they're really after you.,Enemy of the State
120000000,Adventure,A Bug's Life,"On behalf of oppressed bugs everywhere, an inventive ant named Flik hires a troupe of warrior bugs to defend his bustling colony from a horde of freeloading grasshoppers led by the evil-minded Hopper.",Walt Disney Pictures,36124,363258859,95,An epic presentation of miniature proportions.,A Bug's Life
2900000,Drama,Central do Brasil,"An emotive journey of a former school teacher, who writes letters for illiterate people, and a young boy, whose mother has just died, as they search for the father he never knew.",MACT Productions,35811,5596708,113,He was looking for the father he never knew. She was looking for a second chance.,Central Station
12000,Horror,Pink Flamingos,"Notorious Baltimore criminal and underground figure Divine goes up against Connie &amp; Raymond Marble, a sleazy married couple who make a passionate attempt to humiliate her and seize her tabloid-given title as The Filthiest Person Alive.",Dreamland Productions,26370,6000000,93,An exercise in poor taste.,Pink Flamingos
10000000,Action,King Kong Lives,Kong falls from the twin towers and he appears to be alive!,De Laurentiis Entertainment Group (DEG),31737,4711220,105,America's biggest hero is back... and he is not happy.,King Kong Lives
17900000,Adventure,Red Sonja,"The tyrant Gedren seeks the total power in a world of barbarism. She raids the city Hablac and kills the keeper of a talisman that gives her great power. Red Sonja, sister of the keeper, sets out with her magic sword to overthrow Gedren.",Famous Films (II),31146,6948633,89,A woman and a warrior that became a legend.,Red Sonja
90000000,Adventure,Babe: Pig in the City,"Babe, fresh from his victory in the sheepherding contest, returns to Farmer Hoggett's farm, but after Farmer Hoggett is injured and unable to work, Babe has to go to the big city to save the farm.",Kennedy Miller Productions,36124,69131860,92,This little pig went to the city...,Babe: Pig in the City
44000000,Action,Rambo: First Blood Part II,John Rambo is released from prison by the government for a top-secret covert mission to the last place on Earth he'd want to return - the jungles of Vietnam.,TriStar Pictures,31188,300400432,96,"What most people call hell, he calls home.",Rambo: First Blood Part II
17500000,Comedy,Cocoon: The Return,"The old age pensioners that left at the end of the first film come back to earth to visit their relatives. Will they all decide to go back to the planet where no-one grows old, or will they be tempted to stay back on earth, or will they?",Twentieth Century Fox Film Corporation,32399,25024919,116,"This holiday season, journey to the most wonderful place in the universe... home.",Cocoon: The Return
42000000,Drama,Rocky V,"A lifetime of taking shots has ended Rocky's career, and a crooked accountant has left him broke. Inspired by the memory of his trainer, however, Rocky finds glory in training and takes on an up-and-coming boxer.",United Artists,33164,119946358,104,Go for it!,Rocky V
65000000,Comedy,You've Got Mail,"Book superstore magnate, Joe Fox and independent book shop owner, Kathleen Kelly fall in love in the anonymity of the Internet both blissfully unaware that he's putting her out of business.",Warner Bros.,36146,250821495,119,Someone you pass on the street may already be the love of your life.,You've Got Mail
50000000,Comedy,Patch Adams,"Meet Patch Adams, a doctor who doesn't look, act or think like any doctor you've met before. For Patch, humor is the best medicine, and he's willing to do just anything to make his patients laugh - even if it means risking his own career.",Universal Pictures,36154,202292902,115,Laughter is contagious,Patch Adams
75000000,Horror,Virus,"When the crew of an American tugboat boards an abandoned Russian research vessel, the alien life form aboard regards them as a virus which must be destroyed.",Universal Pictures,36174,14010690,99,Life on earth is in for a shock.,Virus
15000000,Horror,The Fly,"When Seth Brundle makes a huge scientific and technological breakthrough in teleportation, he decides to test it on himself. Unbeknownst to him, a common housefly manages to get inside the device and the two become one.",SLM Production Group,31639,60629159,96,Be afraid. Be very afraid.,The Fly
85000,Horror,The Texas Chain Saw Massacre,Five friends visiting their grandfather's house in the country are hunted and terrorized by a chain-saw wielding killer and his family of grave-robbing cannibals.,New Line Cinema,27303,30859000,83,Who will survive and what will be left of them?,The Texas Chain Saw Massacre
4700000,Horror,The Texas Chainsaw Massacre 2,A radio host is victimized by the cannibal family as a former Texas Marshall hunts them.,Cannon Films,31646,8025872,101,After a decade of silence... The buzzz is back!,The Texas Chainsaw Massacre 2
18000000,Comedy,Peggy Sue Got Married,"Peggy Sue faints at a Highschool reunion. When she wakes up she finds herself in her own past, just before she finished school.",American Zoetrope,31690,41382841,103,"Knowing what you know now, what would you do differently?",Peggy Sue Got Married
15000000,Action,Heartbreak Ridge,"A hard-nosed, hard-living Marine gunnery sergeant clashes with his superiors and his ex-wife as he takes command of a spoiled recon platoon with a bad attitude.",Malpaso Productions,31761,42724017,130,...the scars run deep.,Heartbreak Ridge
35000000,Comedy,Blast from the Past,"Following a bomb scare in the 1960s that locked the Webers into their bomb shelter for 35 years, Adam now ventures forth into Los Angeles to obtain food and supplies for his family, and a non-mutant wife for himself.",New Line Cinema,36203,40263020,112,She'd never met anyone like him. He's never met anyone... Period.,Blast from the Past
10000000,Comedy,Office Space,Three office workers strike back at their evil employers by hatching a hapless attempt to embezzle money.,Twentieth Century Fox Film Corporation,36210,12827813,89,Work sucks.,Office Space
6000000,Comedy,200 Cigarettes,"A collection of twentysomethings try to cope with relationships, loneliness, desire and their individual neuroses.",Paramount Pictures,36217,6852450,101,It's 11:59 on New Years Eve... do you know where your date is?,200 Cigarettes
8000000,Horror,Pet Sematary II,"The sematary is up to its old zombie-raising tricks again. This time, the protagonists are Jeff Matthews, whose mother died in a Hollywood stage accident, and Drew Gilbert, a boy coping with an abusive stepfather.",Paramount Pictures,33844,17092453,100,Raise Some Hell.,Pet Sematary II
10000000,Action,Airport,"Melodrama about a bomber on board an airplane, an airport almost closed by snow, and various personal problems of the people involved.",Universal Pictures,25632,100489151,137,The #1 novel of the year - now a motion picture!,Airport
14000000,Action,The Towering Inferno,"At the opening party of a colossal - but poorly constructed - office building, a massive fire breaks out that threatens to destroy the tower and everyone in it.",Twentieth Century Fox Film Corporation,27377,116000000,159,The world's tallest building is on fire. You are there on the 135th floor ... no way down ... no way out.,The Towering Inferno
9000000,Adventure,Logan's Run,"An idyllic sci-fi future has one major drawback: All citizens get a chance of being 'renewed' in a Civic Ceremony at their 30th birthday, unless they run and escape before their time comes.",Metro-Goldwyn-Mayer (MGM),27934,25000000,119,The only thing you can't have in Logan's world is your 30th birthday. Unless you run away.,Logan's Run
1700000,Action,Conquest of the Planet of the Apes,"In a futuristic world that has embraced ape slavery, Caesar, the son of the late simians Cornelius and Zira, surfaces after almost twenty years of hiding out from the authorities, and prepares for a slave revolt against humanity.",Twentieth Century Fox Film Corporation,26479,9700000,88,All new! The revolt of the apes. The most awesome spectacle in the annals of science fiction!,Conquest of the Planet of the Apes
2500000,Action,Escape from the Planet of the Apes,"The world is shocked by the appearance of two talking chimpanzees, who arrived mysteriously in a U.S. spacecraft. They become the toast of society; but one man believes them to be a threat to the human race.",Twentieth Century Fox Film Corporation,26073,12348905,98,Meet baby Milo who has Washington terrified.,Escape from the Planet of the Apes
14000000,Action,The Concorde... Airport '79,"The last of the 'Airport' series again stars George Kennedy as aviation disaster-prone Joe Patroni, this time having to contend with nuclear missiles, the French Air Force and the threat of the plane splitting in two over the Alps!",Universal Pictures,29084,13015688,123,"At twice the speed of sound, can the Concorde evade attack?",The Concorde... Airport '79
25000000,Action,The Corruptor,"Danny is a young cop partnered with Nick, a seasoned but ethically tainted veteran. As the two try to stop a gang war in Chinatown, Danny relies on Nick but grows increasingly uncomfortable with the way Nick gets things done.",New Line Cinema,36231,15156200,110,You can't play by the rules if there aren't any.,The Corruptor
1350000,Comedy,"Lock, Stock and Two Smoking Barrels",A card sharp and his unwillingly-enlisted friends need to make a lot of cash quick after losing a sketchy poker match. To do this they decide to pull a heist on a small-time gang who happen to be operating out of the flat next door.,Handmade Films Ltd.,35859,3897569,105,A Disgrace to Criminals Everywhere.,"Lock, Stock and Two Smoking Barrels"
12000000,Science Fiction,Baby Geniuses,"Scientist hold talking, super-intelligent babies captive, but things take a turn for the worse when a mix-up occurs between a baby genius and its twin.",TriStar Pictures,36231,36450736,97,Think innocent. Think helpless. Think again. Naps are history.,Baby Geniuses
25000000,Animation,The King and I,Animated version of the Rodgers and Hammerstein musical about when the King of Siam meets a head strong English school mistress.,Rankin/Bass Productions,36238,12000000,87,The All New Animated Family Spectacular Adapted From The Musical By Rodgers And Hammerstein,The King and I
4550000,Drama,The King and I,"Mrs. Anna Leonowens and her son Louis arrive in Bangkok, where she has contracted to teach English to the children of the royal household. She threatens to leave when the house she had been promised is not available, but falls in love with the children.",Twentieth Century Fox Film Corporation,20635,21300000,133,More than your eyes have ever seen... More than your heart has ever known!,The King and I
63000000,Action,The Matrix,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.",Village Roadshow Pictures,36249,463517383,136,Welcome to the Real World.,The Matrix
75000000,Comedy,The Out-of-Towners,"The remake of the 1970 Neil Simon comedy follows the adventures of a couple, Henry and Nancy Clark, vexed by misfortune while in New York City for a job interview.",Paramount Pictures,36252,29000000,90,"They fell in love 24 years ago... and in the next 24 hours, they'll remember why.",The Out-of-Towners
6500000,Crime,Go,"Told from three perspectives, a story of a bunch of young Californians trying to get some cash, do and deal some drugs, score money and sex in Las Vegas, and generally experience the rush of life.",Columbia Pictures,36259,28451622,98,A weekend wasted is never a wasted weekend.,Go
10000000,Comedy,Cookie's Fortune,Conflict arises in the small town of Holly Springs when an old woman's death causes a variety of reactions among family and friends.,October Films,36182,10920544,118,"Welcome to Holly Springs... home of murder, mayhem and catfish enchiladas.",Cookie's Fortune
80000000,Comedy,Life,Two men in 1930s Mississippi become friends after being sentenced to life in prison together for a crime they did not commit.,Imagine Entertainment,36266,73345029,108,Share it with someone you love.,Life
15000000,Action,eXistenZ,A game designer on the run from assassins must play her latest virtual reality creation with a marketing trainee to determine if the game has been damaged.,Alliance Atlantis Communications,36264,2856712,97,Play it. Live it. Kill for it.,eXistenZ
66000000,Romance,Entrapment,"Two thieves, who travel in elegant circles, try to outsmart each other and, in the process, end up falling in love.",Fountainbridge Films,36279,212404396,112,The trap is set.,Entrapment
1453000,Crime,Mildred Pierce,"After her cheating husband leaves her, Mildred Pierce proves she can become independent and successful, but can't win the approval of her spoiled daughter.",Warner Bros.,16704,5638000,111,A mother's love leads to murder,Mildred Pierce
47000000,Adventure,Dick Tracy,"The comic strip detective finds his life vastly complicated when Breathless Mahoney makes advances towards him while he is trying to battle Big Boy Caprice's united mob,",Touchstone Pictures,33039,103738726,103,Their turf. Their game. Their rules. They didn't count on HIS law...,Dick Tracy
